11b,3243 0000 1134 4142 5523 1255
11c,5353 0000 1134 4142 2223 1455
11d,3553 0000 1134 4142 2423 1255
11e,2523 0000 1134 4142 3423 1555
11f,2343 0000 1134 4142 5223 1555
12a,5113 0000 1134 4342 2223 5455
12b,3113 0000 1134 4542 4223 5255
12c,5113 0000 1134 4242 5323 2455
12d,3113 0000 1134 4242 5523 4255
12e,2113 0000 1134 4342 2523 4555
12f,2113 0000 1134 4542 4323 2555
13a,1514 0000 4334 1342 2123 2555
13b,1514 0000 2334 1542 4123 2355
13c,1214 0000 4334 1242 5123 3555
13d,1414 0000 2334 1242 5123 5355
13e,1414 0000 5334 1342 2123 5255
13f,1214 0000 5334 1542 4123 3255
14a,4114 0000 5334 1342 2223 5155
14b,2114 0000 3334 1542 4223 5155
14c,4114 0000 5334 1242 5323 2155
14d,2114 0000 3334 1242 5523 4155
14e,5114 0000 2334 1342 2523 4155
14f,5114 0000 2334 1542 4323 2155
15a,4224 0000 5334 1142 3523 1155
15b,2244 0000 3334 1142 5523 1155
15c,4354 0000 5334 1142 2223 1155
15d,2554 0000 3334 1142 2423 1155
15e,5524 0000 2334 1142 3423 1155
15f,5344 0000 2334 1142 5223 1155
16a,1111 0000 4434 3342 2223 5555
16b,1111 0000 2434 3542 4223 5355
16c,1111 0000 4434 3242 5323 2555
16d,1111 0000 2434 3242 5523 4355
16e,1111 0000 5434 3342 2523 4255
16f,1111 0000 5434 3542 4323 2255
17a,4521 0000 5424 3135 3142 2153
17b,2541 0000 3424 3135 5142 2153
17c,4251 0000 5424 3135 2142 3153
17d,2451 0000 3424 3135 2142 5153
17e,5421 0000 2424 3135 3142 5153
17f,5241 0000 2424 3135 5142 3153
18a,1234 0000 4324 1235 1542 1553
18b,1254 0000 2324 1435 1542 1353
18c,1324 0000 4324 1535 1242 1553
18d,1524 0000 2324 1535 1442 1353
18e,1534 0000 5324 1235 1442 1253
18f,1354 0000 5324 1435 1242 1253
19a,5223 0000 1124 4135 3542 1453
19b,3243 0000 1124 4135 5542 1253
19c,5353 0000 1124 4135 2242 1453
19d,3553 0000 1124 4135 2442 1253
19e,2523 0000 1124 4135 3442 1553
19f,2343 0000 1124 4135 5242 1553
20a,5113 0000 1124 4335 2242 5453
20b,3113 0000 1124 4535 4242 5253
20c,5113 0000 1124 4235 5342 2453
20d,3113 0000 1124 4235 5542 4253
20e,2113 0000 1124 4335 2542 4553
20f,2113 0000 1124 4535 4342 2553
21a,1514 0000 4324 1335 2142 2553
21b,1514 0000 2324 1535 4142 2353
21c,1214 0000 4324 1235 5142 3553
21d,1414 0000 2324 1235 5142 5353
21e,1414 0000 5324 1335 2142 5253
21f,1214 0000 5324 1535 4142 3253
22a,4114 0000 5324 1335 2242 5153
22b,2114 0000 3324 1535 4242 5153
22c,4114 0000 5324 1235 5342 2153
22d,2114 0000 3324 1235 5542 4153
22e,5114 0000 2324 1335 2542 4153
22f,5114 0000 2324 1535 4342 2153
23a,4224 0000 5324 1135 3542 1153
23b,2244 0000 3324 1135 5542 1153
23c,4354 0000 5324 1135 2242 1153
23d,2554 0000 3324 1135 2442 1153
23e,5524 0000 2324 1135 3442 1153
23f,5344 0000 2324 1135 5242 1153
24a,1111 0000 4424 3335 2242 5553
24b,1111 0000 2424 3535 4242 5353
24c,1111 0000 4424 3235 5342 2553
24d,1111 0000 2424 3235 5542 4353
24e,1111 0000 5424 3335 2542 4253
24f,1111 0000 5424 3535 4342 2253
25a,4521 0000 5444 3133 3122 2155
25b,2541 0000 3444 3133 5122 2155
25c,4251 0000 5444 3133 2122 3155
25d,2451 0000 3444 3133 2122 5155
25e,5421 0000 2444 3133 3122 5155
25f,5241 0000 2444 3133 5122 3155
26a,1234 0000 4344 1223 1535 1552
26b,1254 0000 2344 1423 1535 1352
26c,1324 0000 4344 1523 1235 1552
26d,1524 0000 2344 1523 1435 1352
26e,1534 0000 5344 1223 1435 1252
26f,1354 0000 5344 1423 1235 1252
27a,5223 0000 1144 4123 3535 1452
27b,3243 0000 1144 4123 5535 1252
27c,5353 0000 1144 4123 2235 1452
27d,3553 0000 1144 4123 2435 1252
27e,2523 0000 1144 4123 3435 1552
27f,2343 0000 1144 4123 5235 1552
28a,5113 0000 1144 4323 2235 5452
28b,3113 0000 1144 4523 4235 5252
28c,5113 0000 1144 4223 5335 2452
28d,3113 0000 1144 4223 5535 4252
28e,2113 0000 1144 4323 2535 4552
28f,2113 0000 1144 4523 4335 2552
29a,1514 0000 4344 1323 2135 2552
29b,1514 0000 2344 1523 4135 2352
29c,1214 0000 4344 1223 5135 3552
29d,1414 0000 2344 1223 5135 5352
29e,1414 0000 5344 1323 2135 5252
29f,1214 0000 5344 1523 4135 3252
30a,4114 0000 5344 1323 2235 5152
30b,2114 0000 3344 1523 4235 5152
30c,4114 0000 5344 1223 5335 2152
30d,2114 0000 3344 1223 5535 4152
30e,5114 0000 2344 1323 2535 4152
30f,5114 0000 2344 1523 4335 2152
31a,4224 0000 5344 1123 3535 1152
31b,2244 0000 3344 1123 5535 1152
31c,4354 0000 5344 1123 2235 1152
31d,2554 0000 3344 1123 2435 1152
31e,5524 0000 2344 1123 3435 1152
31f,5344 0000 2344 1123 5235 1152
32a,1111 0000 4444 3323 2235 5552
32b,1111 0000 2444 3523 4235 5352
32c,1111 0000 4444 3223 5335 2552
32d,1111 0000 2444 3223 5535 4352
32e,1111 0000 5444 3323 2535 4252
32f,1111 0000 5444 3523 4335 2252
33a,1533 0200 4144 4203 1123 2555
33b,1553 0200 2144 4403 1123 2355
33c,1223 0200 4144 4503 1123 3555
33d,1423 0200 2144 4503 1123 5355
33e,1433 0200 5144 4203 1123 5255
33f,1253 0200 5144 4403 1123 3255
34a,5521 0200 1444 3103 3123 2455
34b,3541 0200 1444 3103 5123 2255
34c,5251 0200 1444 3103 2123 3455
34d,3451 0200 1444 3103 2123 5255
34e,2421 0200 1444 3103 3123 5555
34f,2241 0200 1444 3103 5123 3555
35a,1121 0200 4444 3103 3223 5555
35b,1141 0200 2444 3103 5223 5355
35c,1151 0200 4444 3103 2323 2555
35d,1151 0200 2444 3103 2523 4355
35e,1121 0200 5444 3103 3523 4255
35f,1141 0200 5444 3103 5323 2255
36a,4523 0200 5144 4103 3123 2155
36b,2543 0200 3144 4103 5123 2155
36c,4253 0200 5144 4103 2123 3155
36d,2453 0200 3144 4103 2123 5155
36e,5423 0200 2144 4103 3123 5155
36f,5243 0200 2144 4103 5123 3155
37a,1214 0200 4344 1303 2523 1555
37b,1214 0200 2344 1503 4523 1355
37c,1314 0200 4344 1203 5223 1555
37d,1514 0200 2344 1203 5423 1355
37e,1514 0200 5344 1303 2423 1255
37f,1314 0200 5344 1503 4223 1255
38a,1524 0200 4344 1103 3123 2555
38b,1544 0200 2344 1103 5123 2355
38c,1254 0200 4344 1103 2123 3555
38d,1454 0200 2344 1103 2123 5355
38e,1424 0200 5344 1103 3123 5255
38f,1244 0200 5344 1103 5123 3255
39a,5224 0200 1344 1103 3523 1455
39b,3244 0200 1344 1103 5523 1255
39c,5354 0200 1344 1103 2223 1455
39d,3554 0200 1344 1103 2423 1255
39e,2524 0200 1344 1103 3423 1555
39f,2344 0200 1344 1103 5223 1555
40a,1231 0200 4444 3203 1523 1555
40b,1251 0200 2444 3403 1523 1355
40c,1321 0200 4444 3503 1223 1555
40d,1521 0200 2444 3503 1423 1355
40e,1531 0200 5444 3203 1423 1255
40f,1351 0200 5444 3403 1223 1255
41a,1224 0300 4344 1123 3520 1555
41b,1244 0300 2344 1123 5520 1355
41c,1354 0300 4344 1123 2220 1555
41d,1554 0300 2344 1123 2420 1355
41e,1524 0300 5344 1123 3420 1255
41f,1344 0300 5344 1123 5220 1255
42a,4231 0300 5444 3223 1520 1155
42b,2251 0300 3444 3423 1520 1155
42c,4321 0300 5444 3523 1220 1155
42d,2521 0300 3444 3523 1420 1155
42e,5531 0300 2444 3223 1420 1155
42f,5351 0300 2444 3423 1220 1155
43a,1131 0300 4444 3223 1220 5555
43b,1151 0300 2444 3423 1220 5355
43c,1121 0300 4444 3523 1320 2555
43d,1121 0300 2444 3523 1520 4355
43e,1131 0300 5444 3223 1520 4255
43f,1151 0300 5444 3423 1320 2255
44a,5234 0300 1344 1223 1520 1455
44b,3254 0300 1344 1423 1520 1255
44c,5324 0300 1344 1523 1220 1455
44d,3524 0300 1344 1523 1420 1255
44e,2534 0300 1344 1223 1420 1555
44f,2354 0300 1344 1423 1220 1555
45a,1513 0300 4144 4323 2120 2555
45b,1513 0300 2144 4523 4120 2355
45c,1213 0300 4144 4223 5120 3555
45d,1413 0300 2144 4223 5120 5355
45e,1413 0300 5144 4323 2120 5255
45f,1213 0300 5144 4523 4120 3255
46a,1233 0300 4144 4223 1520 1555
46b,1253 0300 2144 4423 1520 1355
46c,1323 0300 4144 4523 1220 1555
46d,1523 0300 2144 4523 1420 1355
46e,1533 0300 5144 4223 1420 1255
46f,1353 0300 5144 4423 1220 1255
47a,4533 0300 5144 4223 1120 2155
47b,2553 0300 3144 4423 1120 2155
47c,4223 0300 5144 4523 1120 3155
47d,2423 0300 3144 4523 1120 5155
47e,5433 0300 2144 4223 1120 5155
47f,5253 0300 2144 4423 1120 3155
48a,1521 0300 4444 3123 3120 2555
48b,1541 0300 2444 3123 5120 2355
48c,1251 0300 4444 3123 2120 3555
48d,1451 0300 2444 3123 2120 5355
48e,1421 0300 5444 3123 3120 5255
48f,1241 0300 5444 3123 5120 3255
